Variable,Variable name,Measurement unit,Allowed values,Description
Recipient Email,RecipientEmail,character,Any string,"Email address that was used to contact the participant, hashed using SHA256 algorithm"
Number of the wave,Wave,numeric,1 to 31,Number of the week in which the participant started the study. 1 = first week of data collection
Finished T1,Finished_T1,numeric,"0, 1","Did the participant finish T1 questionnaire? 0 = No, 1 = Yes"
Participant gender,gender,numeric,"1, 2","Participant gender. 1 = male, 2 = female"
Participant's year of birth,birthyear,numeric,1900 to 2002,Participant's year of birth
Participant's education,education,numeric,1 to 8,"Highest level of education achieved. 1 = Hauptschulabschluss, 2 = Realschulabschluss, 3 = Abitur, 4 = Ausbildung, 5 = Diplom-Abschluss, 6 = Bachelor-Abschluss, 7 = Master-Abschluss, 8 = Doktorat oder Äquivalent"
Number of children,children,numeric,"0, 1",Whether the participant has children
Work hours,work_hours,numeric,0 to 99,The number of hours worked per week
Work days,work_days,numeric,0 to 7,The number of days worked per week
T1 PANAS item 1,T1_panas_jov_1,numeric,1 to 5,"""cheerful"""
T1 PANAS item 2,T1_panas_sad_1,numeric,1 to 5,"""sad"""
T1 PANAS item 3,T1_panas_gen_pos_2,numeric,1 to 5 ,"""active"""
T1 PANAS item 4,T1_panas_guilt_4,numeric,1 to 5,"""angry at self"""
T1 PANAS item 5,T1_panas_hos_1,numeric,1 to 5,"""disgusted"""
T1 PANAS item 6,T1_panas_ser_2,numeric,1 to 5,"""calm"""
T1 PANAS item 7,T1_panas_guilt_2,numeric,1 to 5,"""guilty"""
T1 PANAS item 8,T1_panas_jov_7,numeric,1 to 5,"""enthusiastic"""
T1 PANAS item 9,T1_panas_att_1,numeric,1 to 5,"""attentive"""
T1 PANAS item 10,T1_panas_fear_1,numeric,1 to 5,"""afraid"""
T1 PANAS item 11,T1_panas_jov_4,numeric,1 to 5,"""joyful"""
T1 PANAS item 12,T1_panas_sad_5,numeric,1 to 5,"""downhearted"""
T1 PANAS item 13,T1_panas_shy_1,numeric,1 to 5,"""bashful"""
T1 PANAS item 14,T1_panas_fat_2,numeric,1 to 5,"""tired"""
T1 PANAS item 15,T1_panas_fear_3,numeric,1 to 5,"""nervous"""
T1 PANAS item 16,T1_panas_shy_4,numeric,1 to 5,"""sheepish"""
T1 PANAS item 17,T1_panas_fat_1,numeric,1 to 5,"""sluggish"""
T1 PANAS item 18,T1_panas_sur_2,numeric,1 to 5,"""amazed"""
T1 PANAS item 19,T1_panas_sad_4,numeric,1 to 5,"""lonely"""
T1 PANAS item 20,T1_panas_gen_neg_2,numeric,1 to 5,"""distressed"""
T1 PANAS item 21,T1_panas_self_ass_1,numeric,1 to 5,"""daring"""
T1 PANAS item 22,T1_panas_fear_2,numeric,1 to 5,"""shaky"""
T1 PANAS item 23,T1_panas_fat_3,numeric,1 to 5,"""sleepy"""
T1 PANAS item 24,T1_panas_guilt_5,numeric,1 to 5,"""blameworthy"""
T1 PANAS item 25,T1_panas_sur_1,numeric,1 to 5,"""surprised"""
T1 PANAS item 26,T1_panas_jov_3,numeric,1 to 5,"""happy"""
T1 PANAS item 27,T1_panas_jov_5,numeric,1 to 5,"""excited"""
T1 PANAS item 28,T1_panas_att_3,numeric,1 to 5,"""determined"""
T1 PANAS item 29,T1_panas_self_ass_2,numeric,1 to 5,"""strong"""
T1 PANAS item 30,T1_panas_shy_2,numeric,1 to 5,"""timid"""
T1 PANAS item 31,T1_panas_hos_5,numeric,1 to 5,"""hostile"""
T1 PANAS item 32,T1_panas_fear_6,numeric,1 to 5,"""frightened"""
T1 PANAS item 33,T1_panas_hos_2,numeric,1 to 5,"""scornful"""
T1 PANAS item 34,T1_panas_sad_2,numeric,1 to 5,"""alone"""
T1 PANAS item 35,T1_panas_self_ass_5,numeric,1 to 5,"""proud"""
T1 PANAS item 36,T1_panas_sur_3,numeric,1 to 5,"""astonished"""
T1 PANAS item 37,T1_panas_ser_1,numeric,1 to 5,"""relaxed"""
T1 PANAS item 38,T1_panas_att_2,numeric,1 to 5,"""alert"""
T1 PANAS item 39,T1_panas_fear_4,numeric,1 to 5,"""jittery"""
T1 PANAS item 40,T1_panas_gen_pos_3,numeric,1 to 5,"""interested"""
T1 PANAS item 41,T1_panas_hos_3,numeric,1 to 5,"""irritable"""
T1 PANAS item 42,T1_panas_gen_neg_1,numeric,1 to 5,"""upset"""
T1 PANAS item 43,T1_panas_jov_6,numeric,1 to 5,"""lively"""
T1 PANAS item 44,T1_panas_hos_6,numeric,1 to 5,"""loathing"""
T1 PANAS item 45,T1_panas_jov_2,numeric,1 to 5,"""delighted"""
T1 PANAS item 46,T1_panas_hos_4,numeric,1 to 5,"""angry"""
T1 PANAS item 47,T1_panas_guilt_3,numeric,1 to 5,"""ashamed"""
T1 PANAS item 48,T1_panas_self_ass_6,numeric,1 to 5,"""confident"""
T1 PANAS item 49,T1_panas_gen_pos_1,numeric,1 to 5,"""inspired"""
T1 PANAS item 50,T1_panas_self_ass_4,numeric,1 to 5,"""bold"""
T1 PANAS item 51,T1_panas_ser_3,numeric,1 to 5,"""at ease"""
T1 PANAS item 52,T1_panas_jov_8,numeric,1 to 5,"""energetic"""
T1 PANAS item 53,T1_panas_self_ass_3,numeric,1 to 5,"""fearless"""
T1 PANAS item 54,T1_panas_sad_3,numeric,1 to 5,"""blue"""
T1 PANAS item 55,T1_panas_fear_5,numeric,1 to 5,"""scared"""
T1 PANAS item 56,T1_panas_att_4,numeric,1 to 5,"""concentrating"""
T1 PANAS item 57,T1_panas_guilt_1,numeric,1 to 5,"""disgusted"""
T1 PANAS item 58,T1_panas_shy_3,numeric,1 to 5,"""shy"""
T1 PANAS item 59,T1_panas_fat_4,numeric,1 to 5,"""drowsy"""
T1 PANAS item 60,T1_panas_guilt_6,numeric,1 to 5,"""dissatisfied with self"""
Finished T2,Finished_T2,numeric,"0, 1","Did the participant finish T2 questionnaire? 0 = No, 1 = Yes"
T2 REQ item 1,req_detach_1,numeric,1 to 5,"""I forget about work"""
T2 REQ item 2,req_detach_2,numeric,1 to 5,"""I don’t think about work at all"""
T2 REQ item 3,req_detach_3,numeric,1 to 5,"""I distance myself from my work"""
T2 REQ item 4,req_detach_4,numeric,1 to 5,"""I get a break from the demands of work"""
T2 REQ item 5,req_relax_1,numeric,1 to 5,"""I kick back and relax"""
T2 REQ item 6,req_relax_2,numeric,1 to 5,"""I do relaxing things"""
T2 REQ item 7,req_relax_3,numeric,1 to 5,"""I use the time to relax"""
T2 REQ item 8,req_relax_4,numeric,1 to 5,"""I take time for leisure"""
T2 REQ item 9,req_mastery_1,numeric,1 to 5,"""I learn new things"""
T2 REQ item 10,req_mastery_2,numeric,1 to 5,"""I seek out intellectual challenges"""
