"RecipientEmail","Wave","Finished_T1","gender","birthyear","education","children","work_hours","work_days","T1_panas_jov_1","T1_panas_sad_1","T1_panas_gen_pos_2","T1_panas_guilt_4","T1_panas_hos_1","T1_panas_ser_2","T1_panas_guilt_2","T1_panas_jov_7","T1_panas_att_1","T1_panas_fear_1","T1_panas_jov_4","T1_panas_sad_5","T1_panas_shy_1","T1_panas_fat_2","T1_panas_fear_3","T1_panas_shy_4","T1_panas_fat_1","T1_panas_sur_2","T1_panas_sad_4","T1_panas_gen_neg_2","T1_panas_self_ass_1","T1_panas_fear_2","T1_panas_fat_3","T1_panas_guilt_5","T1_panas_sur_1","T1_panas_jov_3","T1_panas_jov_5","T1_panas_att_3","T1_panas_self_ass_2","T1_panas_shy_2","T1_panas_hos_5","T1_panas_fear_6","T1_panas_hos_2","T1_panas_sad_2","T1_panas_self_ass_5","T1_panas_sur_3","T1_panas_ser_1","T1_panas_att_2","T1_panas_fear_4","T1_panas_gen_pos_3","T1_panas_hos_3","T1_panas_gen_neg_1","T1_panas_jov_6","T1_panas_hos_6","T1_panas_jov_2","T1_panas_hos_4","T1_panas_guilt_3","T1_panas_self_ass_6","T1_panas_gen_pos_1","T1_panas_self_ass_4","T1_panas_ser_3","T1_panas_jov_8","T1_panas_self_ass_3","T1_panas_sad_3","T1_panas_fear_5","T1_panas_att_4","T1_panas_guilt_1","T1_panas_shy_3","T1_panas_fat_4","T1_panas_guilt_6","Finished_T2","req_detach_1","req_detach_2","req_detach_3","req_detach_4","req_relax_1","req_relax_2","req_relax_3","req_relax_4","req_mastery_1","req_mastery_2","req_mastery_3","req_mastery_4","req_control_1","req_control_2","req_control_3","req_control_4","has_1","has_2","has_3","has_4","has_5","has_6","has_7","has_8","has_9","has_10","has_11","has_12","has_13","has_14","has_15","has_16","has_17","has_18","has_19","has_20","has_21","has_22","has_23","has_24","has_25","has_26","has_27","has_28","has_29","has_30","has_31","has_32","has_33","has_34","has_35","has_36","has_37","has_38","has_39","has_40","has_41","has_42","has_43","has_44","has_45","has_46","has_47","has_48","has_49","has_50","has_51","has_52","has_53","upl_1","upl_2","upl_3","upl_4","upl_5","upl_6","upl_7","upl_8","upl_9","upl_10","upl_11","upl_12","upl_13","upl_14","upl_15","upl_16","upl_17","upl_18","upl_19","upl_20","upl_21","upl_22","upl_23","upl_24","upl_25","upl_26","upl_27","upl_28","upl_29","upl_30","upl_31","upl_32","upl_33","upl_34","upl_35","upl_36","upl_37","upl_38","upl_39","upl_40","upl_41","upl_42","upl_43","upl_44","upl_45","upl_46","upl_47","upl_48","upl_49","upl_50","upl_51","upl_52","upl_53","Finished_T3","T3_panas_jov_1","T3_panas_sad_1","T3_panas_gen_pos_2","T3_panas_guilt_4","T3_panas_hos_1","T3_panas_ser_2","T3_panas_guilt_2","T3_panas_jov_7","T3_panas_att_1","T3_panas_fear_1","T3_panas_jov_4","T3_panas_sad_5","T3_panas_shy_1","T3_panas_fat_2","T3_panas_fear_3","T3_panas_shy_4","T3_panas_fat_1","T3_panas_sur_2","T3_panas_sad_4","T3_panas_gen_neg_2","T3_panas_self_ass_1","T3_panas_fear_2","T3_panas_fat_3","T3_panas_guilt_5","T3_panas_sur_1","T3_panas_jov_3","T3_panas_jov_5","T3_panas_att_3","T3_panas_self_ass_2","T3_panas_shy_2","T3_panas_hos_5","T3_panas_fear_6","T3_panas_hos_2","T3_panas_sad_2","T3_panas_self_ass_5","T3_panas_sur_3","T3_panas_ser_1","T3_panas_att_2","T3_panas_fear_4","T3_panas_gen_pos_3","T3_panas_hos_3","T3_panas_gen_neg_1","T3_panas_jov_6","T3_panas_hos_6","T3_panas_jov_2","T3_panas_hos_4","T3_panas_guilt_3","T3_panas_self_ass_6","T3_panas_gen_pos_1","T3_panas_self_ass_4","T3_panas_ser_3","T3_panas_jov_8","T3_panas_self_ass_3","T3_panas_sad_3","T3_panas_fear_5","T3_panas_att_4","T3_panas_guilt_1","T3_panas_shy_3","T3_panas_fat_4","T3_panas_guilt_6","age","req_control","req_detach","req_relax","req_mastery","hassles","T1_panas_negative","T1_panas_fear","T1_panas_sadness","T1_panas_guilt","T1_panas_hostility","T1_panas_shyness","T1_panas_fatigue","T1_panas_positive","T1_panas_joviality","T1_panas_self_assurance","T1_panas_attentiveness","T1_panas_serenity","T1_panas_surprise","T3_panas_negative","T3_panas_fear","T3_panas_sadness","T3_panas_guilt","T3_panas_hostility","T3_panas_shyness","T3_panas_fatigue","T3_panas_positive","T3_panas_joviality","T3_panas_self_assurance","T3_panas_attentiveness","T3_panas_serenity","T3_panas_surprise"
"003116e3611f81f052edc2b96e101c74c17a70771c418913c8ee0d5fe950158f",18,1,2,1979,4,1,40,5,4,2,2,3,1,2,1,4,3,1,3,2,1,4,1,1,4,1,2,2,1,1,4,1,3,3,3,4,3,1,4,1,2,1,2,2,2,3,1,3,2,2,2,2,3,2,1,4,4,2,3,1,2,2,1,3,1,1,3,2,1,2,1,2,3,3,4,3,2,2,3,1,2,4,3,3,3,2,1,1,2,4,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,4,4,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,1,1,4,1,3,1,1,3,1,4,4,1,3,1,1,2,2,1,2,2,1,1,3,2,2,1,2,4,3,4,3,1,2,1,2,1,4,3,3,2,1,4,1,1,3,1,3,1,1,3,3,3,3,3,1,1,1,4,2,1,2,1,42,3.25,2,3,2,73,1.6,1,1.8,1.5,2.16666666666667,1,3.75,3.1,2.875,2.33333333333333,3.25,2.33333333333333,2,1.2,1.33333333333333,1,1.16666666666667,1.33333333333333,1,2,3.4,3.375,2.83333333333333,3.5,3,2.33333333333333
"00ece46726d3340b9dae3f742974515ed2b5c4752777c985f668c63991c988f0",26,1,2,1993,6,0,40,5,4,2,3,1,1,2,1,5,4,1,4,2,1,4,1,1,3,1,1,1,3,1,3,1,2,4,3,4,3,1,1,1,1,1,3,3,4,3,1,4,1,1,4,1,4,1,1,4,3,3,4,3,3,1,1,4,1,1,3,1,1,4,4,4,5,5,5,5,4,2,1,2,1,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,NA,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,4,1,4,1,1,1,4,1,1,3,4,4,1,1,1,1,1,1,4,2,3,2,2,1,1,3,3,2,3,1,1,3,3,1,4,3,5,3,1,2,1,4,4,3,5,1,1,5,1,3,3,3,1,4,1,3,1,NA,4,4,4,3,3,3,1,1,1,1,3,3,3,3,1,4,3,3,3,4,4,1,1,4,3,3,4,3,3,1,3,4,1,1,3,3,28,4.25,4.25,4.75,1.5,57,1,1,1.4,1,1,1,3.25,3.5,3.875,3.16666666666667,3.75,3.33333333333333,2,2.1,2,1.4,1.8,1.83333333333333,2,3,3.6,3.875,2.83333333333333,3.5,3,3.33333333333333
"013521a5ad0223777e9a590da3a7079cac9368fd90b89d306fd8b99330aecad5",26,1,2,1997,2,0,40,5,2,1,1,2,1,4,1,2,2,1,2,2,1,4,2,1,4,1,1,2,1,3,4,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,2,1,5,3,1,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,4,3,1,3,1,2,4,4,4,4,3,1,1,1,1,5,5,5,4,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,2,2,2,1,1,1,1,3,3,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,4,2,1,3,1,2,1,1,2,4,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,2,1,5,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,24,4.75,2.5,3.75,1,61,2.2,1.66666666666667,1.2,1.5,2.5,1,4,1.2,1.625,1.16666666666667,1.5,2,1,2.1,1.5,2,1.33333333333333,2.16666666666667,1,3.5,1,1.125,1,1,1,1
"01f33560b226f1c6650b4d15be6ce42dd952745a6b46d300fd534919735b767d",29,1,2,1962,3,1,39,5,4,2,3,3,1,3,2,4,5,2,4,3,1,3,2,2,3,3,2,2,3,2,2,1,3,4,2,3,3,2,2,1,1,3,2,3,3,3,4,4,2,2,2,1,4,3,1,3,3,2,3,3,2,1,1,5,1,1,3,2,1,3,3,3,4,3,3,3,3,2,2,2,2,4,4,4,4,1,3,1,2,2,1,1,1,1,1,3,3,4,3,3,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,3,3,1,2,2,1,1,2,1,1,2,3,2,3,3,4,2,2,2,1,3,3,3,3,3,2,3,2,2,3,1,1,3,1,1,3,3,3,2,1,2,1,2,3,1,3,2,1,4,2,1,4,1,2,2,1,1,4,1,1,3,1,2,2,1,1,1,1,2,1,1,2,1,3,4,1,4,1,1,2,3,1,2,2,1,1,2,1,1,1,3,1,1,3,3,59,4,3.25,3,2,78,2,2,2.2,1.66666666666667,1.66666666666667,1.5,2.75,3.2,3.375,2.5,4,3,3,1.7,1.5,2,1.5,1.33333333333333,1,3.75,2.1,2.125,1.33333333333333,2.25,1.66666666666667,1
"0213e26d10cbbae39923e88b9e9be22c84fdb4793971321488691a9f2178d5e5",21,1,1,1978,4,0,39,5,3,2,3,2,1,2,1,1,3,2,2,2,3,3,1,1,2,1,3,2,1,2,3,1,1,2,2,3,2,2,3,1,2,3,2,1,2,2,3,2,3,4,2,2,3,3,1,2,2,2,1,2,2,3,1,2,1,1,3,4,1,1,1,1,1,2,3,2,2,2,2,2,3,4,2,3,3,2,1,1,1,1,2,1,1,2,1,4,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,4,3,2,4,3,3,1,2,2,2,2,2,2,1,1,3,3,3,3,1,1,1,1,2,1,3,3,3,3,4,3,3,3,3,2,1,3,3,2,4,3,2,3,3,3,4,1,1,3,2,1,3,4,3,4,1,3,2,2,3,2,3,4,2,4,4,2,4,1,3,3,2,3,4,2,3,3,2,3,3,2,1,2,2,4,2,3,1,1,3,3,5,4,3,2,3,3,2,2,3,3,2,1,2,1,1,2,2,1,3,3,43,3,1,2.25,2.25,89,2.1,1.66666666666667,2.6,1.66666666666667,2.33333333333333,1.75,2.75,2.2,2.125,1.83333333333333,2.5,1.66666666666667,1,2.7,2.5,3.2,2.5,2.33333333333333,1.75,3.75,2.5,2.5,2.33333333333333,2.25,2,2.33333333333333
"022b8f547b9c159b5a9d12dd2698db85e19f1104028ee5eaed9cf3d6b557e300",25,1,2,1983,7,1,25,5,4,3,4,2,1,3,1,4,4,3,3,4,1,5,4,1,3,3,1,3,2,2,5,1,3,3,3,3,3,3,1,1,1,1,3,3,2,2,2,4,3,2,4,1,4,2,1,4,4,4,2,2,1,2,2,3,1,1,5,2,1,3,3,4,4,4,4,4,4,3,2,2,2,4,3,3,2,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,3,3,1,1,2,1,2,1,1,1,2,2,2,4,1,2,4,4,4,1,3,2,2,3,1,1,2,2,4,1,1,1,1,1,1,1,1,2,1,4,1,2,2,2,2,4,1,4,1,2,2,1,4,2,1,3,1,1,3,2,3,3,1,1,2,3,1,3,2,3,3,1,3,3,2,3,2,3,2,1,4,4,1,3,2,1,2,2,3,3,1,2,4,4,3,3,4,2,2,2,1,3,3,3,3,3,3,4,3,3,1,3,3,2,3,3,3,2,3,2,2,2,3,1,2,3,3,38,3,3.5,4,2.25,78,2.2,2.33333333333333,2.2,1.33333333333333,1.5,1.5,4.5,3.4,3.375,2.83333333333333,3,2.33333333333333,3,2.7,2.66666666666667,1.6,2.16666666666667,2.16666666666667,2,3.25,3,3.125,2.66666666666667,3,2.66666666666667,2.33333333333333
"02d4c0ceca84c232175cac02bb16d17d040b1b36cf7cbea8d6c3ed04850f3955",23,1,2,1998,6,0,40,5,3,3,2,3,1,2,1,3,4,2,3,3,2,4,3,2,4,3,2,3,3,3,3,4,3,3,3,3,3,3,2,2,3,2,3,3,2,3,2,3,4,4,2,1,3,2,2,2,3,3,4,2,2,3,2,3,1,3,4,2,1,2,2,2,5,3,3,3,3,1,1,1,1,1,2,3,4,1,2,1,3,2,3,1,2,2,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,3,1,2,3,1,1,3,2,2,2,1,2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,3,3,1,2,1,1,1,2,1,3,2,2,3,2,4,1,3,3,1,3,2,3,3,2,2,4,1,2,3,2,2,2,3,2,3,1,3,2,3,2,2,2,2,3,2,4,3,1,3,2,2,2,2,3,2,2,3,3,3,4,2,3,3,1,3,2,3,3,2,23,2.5,2.75,3,1,78,2.5,2.33333333333333,2.6,2.16666666666667,2.16666666666667,2.5,3.75,3,2.75,2.66666666666667,3.25,2.66666666666667,3,1.7,1.5,2.2,2.16666666666667,2,2.75,3,2.6,2.5,2.66666666666667,3,4,1.66666666666667
"03a49020065ec93fe712507d084d5425866a5e3266851cc804c1ba370721f674",22,1,2,1983,3,1,35,5,3,1,3,1,1,4,1,3,4,1,3,1,1,4,2,1,3,1,1,1,3,1,4,1,1,4,2,3,3,1,2,1,1,1,1,1,2,2,4,3,3,2,3,1,3,3,1,4,2,1,3,2,2,2,1,2,1,1,2,1,1,3,3,4,4,3,5,3,2,2,1,2,2,3,3,3,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,3,2,2,3,3,1,4,1,1,1,1,1,1,1,2,1,1,1,1,3,1,2,1,3,2,1,1,3,1,3,1,3,1,3,1,3,1,2,1,1,1,1,2,3,3,3,1,1,1,1,1,3,3,2,1,1,3,1,2,2,2,3,3,1,4,3,1,1,1,1,4,1,1,1,1,1,3,1,3,2,1,2,1,1,1,1,1,1,1,3,2,3,4,2,2,2,4,1,2,1,1,1,1,3,3,1,2,1,1,3,1,38,2.75,3.5,3.25,1.75,64,1.8,1.66666666666667,1.2,1,1.83333333333333,1,3.25,2.6,2.875,2.33333333333333,2.75,3,1,2.4,1.83333333333333,2.2,1,2.16666666666667,1,2.25,1.7,2.125,1.66666666666667,2,1.66666666666667,1
"03fec3f24fc6732e2c055883d359499b844b2bea02cd23108f04de916b2e02e0",22,1,2,1979,4,1,35,5,2,4,3,3,1,1,1,4,4,2,4,3,2,4,1,2,2,2,2,4,1,3,4,1,3,4,3,4,5,2,1,2,1,4,5,4,4,3,1,4,2,1,2,1,2,1,2,3,4,1,4,3,2,2,1,4,1,3,1,1,1,4,5,4,5,3,3,4,4,2,4,2,2,3,3,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,1,4,1,4,2,1,4,1,1,4,1,1,1,4,3,1,3,1,1,1,3,4,3,1,2,1,1,1,1,3,1,1,4,4,1,3,2,3,3,1,3,1,3,3,3,2,4,4,1,3,1,4,1,2,3,1,42,2.75,4.5,3.5,2.5,54,1.6,1.66666666666667,3,1.5,1.16666666666667,2.25,2.75,3.9,3,2.83333333333333,3.75,3,3,1.5,1,2.6,1.5,1.16666666666667,1.25,2.25,2.7,3.5,2,2.75,4,2.66666666666667
"047d182699464943e3958e9eb382f926cad5166a50dfac36a0ee8cbf1ff1678c",18,1,1,1992,4,0,37,5,4,2,3,2,1,3,4,2,3,1,4,1,1,3,1,1,3,1,1,1,1,1,3,1,1,4,3,3,3,2,2,2,2,1,3,2,3,2,3,3,4,4,3,1,2,2,1,3,3,1,5,3,2,2,3,2,2,3,4,4,1,2,2,3,3,4,4,4,4,2,2,2,2,2,4,2,3,2,3,3,2,2,3,2,2,3,2,2,3,3,2,3,4,2,3,2,3,2,2,3,3,3,2,2,3,2,3,3,2,2,3,2,3,2,3,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,4,2,3,3,2,2,3,2,3,2,3,2,2,3,2,2,4,3,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3,2,2,3,2,3,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,1,3,2,3,1,2,3,1,4,4,1,3,3,1,2,1,2,2,1,1,3,2,3,2,1,2,3,3,4,4,2,4,2,3,2,4,3,4,2,4,3,2,2,2,1,4,2,3,3,2,3,4,3,2,2,2,3,1,3,3,2,29,2.75,2.5,4,2,136,2.4,1.83333333333333,1.4,2.33333333333333,2,1.75,3.25,2.8,3.125,2.16666666666667,2.5,3.66666666666667,1.33333333333333,2.3,2.16666666666667,2,1.5,2.33333333333333,2,2.25,3.3,3.125,3,3.25,3.66666666666667,2
